TEA,SLN,AreaSqMi,popaduE,popaduM,bachE,bachM,profE,profM,k34E,k34M,multdegE,multdegM,k34esE,k34esM,multdegCV,k34esCV,oostct,oostcap,oostcap_me,qualcc,kidsE
162,162,12.5663706144,56185,5414,23652,4278,16095,3411,1815,1191,39742,5511.82179284,1275,1165.54417809,8.03853700386,47.9686055892,13,1570,120.769230769,0,13104.4474923
174,174,12.5663706144,60396,6116,21936,4128,14717,3288,2086,1378,36641,5324.70975942,1414,1297.21339816,8.8975932575,47.9347938197,20,2058,102.9,1,14304.9416866
177,177,12.5663706144,52820,5509,15307,3118,9064,2267,2287,1381,24381,3914.20351015,1309,1154.17949869,12.7463997088,53.6796397283,26,2267,87.1923076923,1,14963.2905282
184,184,12.5663706144,80211,8398,30917,5699,21250,4685,1835,1414,52171,7425.32286774,1179,1374.38306029,9.09619455042,50.5558184475,22,1963,89.2272727273,0,13619.0573115
203,203,12.5663706144,51826,4938,17919,3636,12116,2841,2015,1183,30046,4649.99817906,1074,1021.56218522,9.65502386396,57.6747057208,20,2160,108,1,15433.1513315
281,281,12.5663706144,78270,8419,28534,5477,18496,4282,1786,1368,47036,7013.65307509,1057,1335.0269021,11.4339423996,56.7182889958,28,2666,95.2142857143,1,12841.4358957
145,145,12.5663706144,37636,3462,6780,1449,4243,1158,1621,844,11006,1914.63237773,703,661.625946977,12.0029800657,61.1692235993,16,947,59.1875,1,15392.1585337
168,168,12.5663706144,29402,3210,5812,1400,3468,1052,859,616,9283,1791.49275497,440,535.259486503,9.11181029443,68.7020704297,20,1837,91.85,2,8053.89460335
181,181,12.5663706144,43548,4554,13999,2671,9693,2269,991,780,23698,3532.21358925,612,707.791399788,8.42817546176,61.5350560468,19,1720,90.5263157895,1,8292.49232602
283,283,12.5663706144,55940,5920,19906,3639,13584,3060,995,765,33505,4791.72920937,625,776.483469628,12.2267358777,77.483249172,11,1029,93.5454545455,0,7391.28498091
188,188,12.5663706144,41881,4451,9042,2046,4917,1448,2071,1205,13976,2576.75454557,902,839.210011164,19.1760214,66.7087448295,27,2174,80.5185185185,2,14601.0668192
202,202,12.5663706144,42949,4896,8419,2072,4257,1409,1886,1186,12700,2567.8859023,818,870.361459995,21.0773165524,78.050881086,37,3043,82.2432432432,2,14044.4849325
131,131,12.5663706144,62686,6966,19254,4096,11975,2967,1796,1303,31241,5118.48533975,964,1179.86340202,14.9272572242,76.1425929819,33,2942,89.1515151515,3,13241.0203761
122,122,12.5663706144,17925,1712,2135,579,1034,367,1116,556,3189,718.495423739,532,406.784381624,21.3324662938,85.79552813,17,2062,121.294117647,0,7333.79184578
260,260,12.5663706144,26686,2475,6367,1251,3415,882,1215,671,9801,1573.53816795,683,561.179446582,17.8252681561,78.4047533789,19,2127,111.947368421,0,8140.93577419
105,105,12.5663706144,13431,1367,610,336,325,244,861,475,949,443.480896206,207,260.896332722,38.3156313991,63.729975004,11,838,76.1818181818,1,8236.84874321
103,103,12.5663706144,11727,1130,646,305,293,221,765,421,944,389.505758537,177,206.389030097,31.8676188818,90.4027044388,10,780,78,1,7001.26096985
116,116,12.5663706144,38791,3621,6266,1479,3425,1084,1777,899,9692,1889.50961395,726,674.082953616,14.5584655944,62.4934137947,18,974,54.1111111111,1,16323.5968065
278,278,12.5663706144,40781,3754,6946,1601,3945,1171,1850,936,10889,2048.58172493,744,696.540949962,14.49918726,64.4371143383,20,1134,56.7,1,16958.7288002
265,265,12.5663706144,11840,1083,685,273,357,227,771,413,1044,371.479389314,205,225.215693489,26.3255392658,99.5513926519,9,630,70,1,6708.50964478
271,271,12.5663706144,32865,3133,4540,1146,2436,850,1493,767,6976,1469.55096165,622,588.10628074,13.8155384733,61.3509749276,12,712,59.3333333333,1,14118.0412403
272,272,12.5663706144,52202,4950,4296,1626,1871,878,3547,1733,6236,1982.29011922,1707,1381.74522684,24.3689057959,58.1270395872,28,2289,81.75,1,27712.0917783
289,289,12.5663706144,36724,3695,5585,1772,2667,945,1489,1000,8291,2097.62580274,797,876.055840165,22.77297603,66.8543112309,30,2413,80.4333333333,2,15633.7776664
112,112,12.5663706144,34335,3427,6357,1794,3048,996,1145,845,9438,2125.20655201,622,744.627411631,21.1255920306,70.0571003433,27,2115,78.3333333333,2,12600.6755698
130,130,12.5663706144,51932,4837,3872,1505,1559,763,3255,1634,5477,1811.65991776,1503,1257.25094559,25.272621189,61.4600248371,20,1768,88.4,1,26722.4306236
136,136,12.5663706144,43509,4081,2402,1056,903,516,2683,1364,3350,1251.10205366,1136,990.159744891,26.634477617,64.0711304789,15,1484,98.9333333333,1,23122.7178953
