TEA,SLN,AreaSqMi,totalpopE,popunisE,popinsE,priE,pub,bphighE,casthmaE,checkupE,SUM_mhlthE,obseityE,phlthE,sleepE,strokeE,POP,SCHOOLNAME,STD_hel_le,MEAN_hel_l,pharm,clinicct,groc,avgfruits,avgveg
192,192,12.5663706144,77379,20384,57006,32039,26952,26380.0678692,7176.67095215,50056.1001738,12407.3974522,29296.3951158,12290.7880385,27648.8613104,2836.51140214,77058.5776657,Peeler Elementary School,2.29321389195,73.5097157376,16,5,14,166.958476719,174.848600191
197,197,12.5663706144,67865,17467,50403,29891,22285,22553.8037409,6167.83658451,43752.0272785,10592.4445558,25148.7518716,10395.9492013,23919.7804421,2344.53079244,67588.7286901,Reagan Elementary School,2.42455355228,71.0926507697,16,5,12,168.648687535,176.423695616
204,204,12.5663706144,70352,18457,51873,31745,22059,22353.4635217,6203.61403575,44618.5627421,11015.6547617,25652.4300629,10730.909152,24330.8255602,2215.65676679,70146.1784397,Rosemont Lower,2.22825733128,74.2746565264,19,7,12,172.948061117,180.720340848
239,239,12.5663706144,89966,25973,63973,36964,29194,28613.0478606,8126.18247144,56631.0038999,14848.6457806,33540.5884066,14448.5996955,31605.791816,2933.77105316,89728.8700153,Salazar Elementary School,2.45484775829,76.4120414095,12,1,10,170.134778457,178.313660497
211,211,12.5663706144,55685,15572,40094,23900,17786,18212.3336912,5034.96192454,35586.5790899,8903.71337359,20619.0112261,8709.99977567,19504.8920984,1886.97623657,55519.5477411,Stevens Park Elementary School,2.84561341672,74.4276892101,13,6,8,168.537015046,175.12252436
229,229,12.5663706144,88528,23947,64591,36953,29980,29045.2315677,8040.28050253,56461.3807379,14246.6857734,33065.7723752,14016.0215472,31196.4716942,3011.38973456,88202.2496274,Winnetka Elementary School,2.21837506552,74.9074587951,17,4,17,171.864836189,180.027565754
171,171,12.5663706144,55092,6076,49006,42296,9979,14160.8352055,4380.04070434,35663.9659213,5912.35462879,14810.0951894,4955.22459597,15903.2269259,1096.78975247,55006.746096,Lakewood Elementary School,2.44229261277,74.8512569057,11,2,8,225.45817749,237.031504329
125,125,12.5663706144,67166,18411,48751,32672,19268,26017.4276399,7269.12426263,52009.8925946,12017.9456595,27262.1403626,11541.0069296,27083.2381575,2634.56224072,79587.028275,Casa View Elementary School,1.31244388854,76.449878168,13,1,6,191.276606952,196.289701948
147,147,12.5663706144,71299,20235,51057,32641,22071,30079.2448164,8331.90983272,59184.4777445,13893.4166228,31404.0828556,13490.2563982,30974.1272578,3107.94067938,90425.8575603,Gill Elementary School,1.27695207593,76.270837098,11,2,4,188.414317104,192.051800864
153,153,12.5663706144,43848,6269,37581,31567,9707,13772.4735291,3641.51111055,29709.0311991,4937.59577826,12539.1075272,4827.81459777,12927.9035771,1224.2390242,43799.8214939,Hexter Elementary School,2.33295185101,79.3843931029,10,0,5,220.423856067,226.414141214
