TEA,SLN,adupopE,adupopM,popE,popM,belpovE,belpovM,kidsE,kidsM,cbpE,cbpM,u5E,u5m,u5bpE,u5bpM,econ_5t17E,econ_5t17M,econ_5t17b,econ_5t1_1,juvpopE,juvpopM,unemE,juvunemE,urE,urM,medincM,pyrE,pyrM,AreaSqMi,blockcount,lwjobs,mwjobs,totjobs,paydayct,creditunio,retailbank,medincE,MEAN_eco_2,econ_popov,econ_pop_1
250,250,34078.353052,3934.5958054,45566.2696172,5489.93746668,16228.1267516,4791.43066403,12814.9288128,3258.06985513,6094.76398172,2850.64728903,3144.44799815,1457.40175339,1593.44111337,1108.81209472,9670.4808147,2733.29729493,4501.32286835,2312.75784805,5248.06209542,1847.41200314,3080.38603341,1794.73166862,9.02813817359,5.44637281844,5889.68098928,33.2870161519,54.01686992,12.5663706144,104,953,1107,2708,5,2,4,18094.7763796,3105.05824225,34075,3927
172,172,57868.9505766,5279.37441947,79534.8194334,7632.63627311,18773.5775573,6706.07017965,24867.7585625,5069.82433564,8211.07146586,3997.05402077,7128.10262957,2695.84087078,2474.65111413,1702.45816397,17739.6559329,4082.48826211,5736.42035173,2980.64782551,12498.1067548,3238.89077583,4926.94799675,5196.01475793,8.6655785507,3.83570042221,9136.64763298,41.0366312745,32.7525616181,12.5663706144,208,2526,3021,7141,15,1,10,24284.5701781,3289.59210806,57859,5247
183,183,36074.6329443,3900.18375404,46676.0278485,5231.57866673,14277.7400686,4970.80356399,12703.0402396,3275.54513502,5489.38678431,2926.54742754,2747.65796024,1392.74611544,1339.83083806,1129.32971688,9955.38227938,3039.60404811,4149.55594625,2446.73006641,6070.37261444,2097.52302646,3200.62530044,2090.6264859,8.86932122658,4.94792689003,6473.57801522,25.3095821875,43.9763316729,12.5663706144,102,1103,1523,3849,2,1,4,21137.3355771,4306.18217061,36077,3894
210,210,37396.573137,3321.23064533,51717.5276525,4581.39435025,11066.9998138,4376.05197515,16092.8453038,3060.52792068,4661.40245856,2363.6364765,4420.90132742,1715.94506198,1200.6357704,882.083752177,11671.9439764,2499.19378112,3460.76668816,1878.86863375,7542.37943184,2028.28542063,2418.7961866,1732.81359739,8.39553331729,3.89026450636,8753.79429949,25.707443555,23.4127703406,12.5663706144,145,2460,6413,15000,3,1,4,23606.2635136,3371.68565394,37394,3311
213,213,34944.6993753,3630.98713987,46170.4974708,5259.53819915,13314.0237893,5003.78105973,12809.5320744,3574.6555336,5570.15656566,3197.82060984,2698.8457307,1373.84206377,1506.8684289,1140.88093295,10110.6863437,3245.63451203,4063.28813676,2619.70664771,5584.7129941,1957.20682235,2565.41974131,1608.52814137,8.29594964066,4.72798289981,6441.4038637,29.3901925388,41.5892736762,12.5663706144,101,1143,1707,3929,2,2,2,23405.9162362,4859.90661447,34942,3625
215,215,29142.0952717,3293.23427267,37889.1237384,4511.02763676,11050.0801827,3803.33656094,10132.4108125,2783.77106795,4051.37213992,2186.86769676,1989.73686701,1093.70521566,862.816920436,694.024706427,8142.67394544,2519.9351855,3188.55521948,1912.04621012,4530.92411385,1667.06462478,2698.19002966,990.197332474,9.32642076434,5.52466185288,6198.84673226,17.2962296413,38.951457415,12.5663706144,87,848,1365,3316,1,0,3,20086.4987323,4248.50036405,29141,3287
277,277,33490.6928914,3158.47368107,45949.4444836,4387.07082758,10657.4681347,4074.42991656,14119.3885069,2871.55063236,4286.69388749,2177.71167785,4097.13402136,1647.2540312,1141.64602865,857.814878805,10022.2544856,2237.88534239,3145.04785885,1654.95166875,6865.53331009,1988.27021748,2616.95336352,2460.30808474,9.00970700266,4.2445795543,9118.38412395,38.1898820321,28.7829780302,12.5663706144,158,2662,6362,16480,3,1,4,24443.802135,3673.27294458,33488,3149
219,219,38325.1904255,3893.52838951,50961.9686244,5522.57921262,15224.5665704,5408.64481781,14774.5895669,3709.42834908,6561.16475704,3436.39714964,3713.80286206,1677.15026688,1788.87266399,1367.30612859,11060.7867048,3289.71739954,4772.29209305,2752.89338072,6881.1156154,2249.37031311,2979.73021209,2449.35572314,7.78612886984,4.28552075408,7146.41641236,35.3094188515,40.9421089408,12.5663706144,120,1764,2098,5482,3,2,5,23309.5786492,4237.28084874,38328,3884
225,225,42442.1455081,3958.55697903,57636.5699942,5652.65052259,14609.9460744,5333.89966238,17615.4577563,3835.95293303,6285.19120895,3261.09401413,5054.09031012,2030.96220391,1860.1209577,1351.19629457,12561.3674462,3105.52999948,4425.07025125,2439.16715419,8851.99680793,2498.5827936,3583.24944287,4090.29430776,8.3363974918,3.90649825448,8620.89415987,45.675721317,37.1859326389,12.5663706144,162,2493,4009,9795,7,1,9,24676.8971184,3604.56603028,42440,3948
274,274,33330.3060712,2948.36840276,46466.1170418,4182.31612614,10304.9662843,3960.7771224,14541.2256955,2783.06725567,4501.65340323,2181.15696408,3956.45866455,1530.50887085,1157.11002949,811.191153028,10584.7670309,2303.12136382,3344.54337374,1763.56189493,6768.08522814,1766.84366002,1891.62797281,1091.76965171,6.90815533849,3.38806795385,8437.73387129,18.9382280513,25.1259062635,12.5663706144,133,1882,4413,10605,0,1,2,22739.2572041,3129.23622358,33327,2933
