TEA,SLN,AreaSqMi,hhcE,hhcmhE,hhcmhM,hhcfhE,hhcfhM,tphhE,affcc,affcc_capa,lcc,kidsE
12,12,12.5663706144,3501.42921247,260.229972947,286.923918785,1431.50662541,586.476590281,1809.69261412,14,1043,18,9324.77076386
2,2,12.5663706144,5614.84972342,634.094299581,613.202152229,2031.80173774,1031.38116141,2948.95368609,13,1058,24,15101.9598697
18,18,12.5663706144,8195.45286219,684.786992638,674.357351477,2504.68266265,1178.27250147,5005.9832069,21,2057,28,22723.7888447
1,1,12.5663706144,7370.2967566,672.21158121,589.679811934,2035.83841486,1056.27595974,4662.24676054,13,1325,28,18562.8097373
8,8,12.5663706144,5481.82475673,529.804238147,488.79282012,2184.79129836,930.079335433,2767.22922022,11,971,14,15519.7495737
5,5,12.5663706144,4823.26775102,379.335438199,323.753258767,1657.52246339,686.977302231,2786.40984943,3,252,6,14120.5167691
60,60,12.5663706144,6739.20678752,687.995564006,646.733843753,2594.03383981,1219.12241443,3457.1773837,32,2262,36,20828.1838798
44,44,12.5663706144,6736.15263651,206.855312926,284.240586144,1323.41294691,653.680602597,5205.88437667,4,174,14,14280.9985604
54,54,12.5663706144,4972.44027997,152.083647904,256.457989936,863.247201346,664.494882975,3957.10943072,2,144,18,9289.13405501
56,56,12.5663706144,6141.9233999,628.728128516,598.629213557,1779.92379789,920.112557511,3733.27147349,4,381,19,11594.1847094
83,83,12.5663706144,8671.67813656,689.919864129,793.331213918,1966.13535922,1299.72580156,6015.62291321,8,836,23,16873.8533736
46,46,12.5663706144,8309.27588719,713.996142169,619.526645531,2529.04255419,1165.70987406,5066.23719083,12,996,13,23057.6739099
45,45,12.5663706144,4650.00869149,292.587328412,304.370304533,1644.82728348,708.552849162,2712.5940796,10,522,11,13997.3278126
52,52,12.5663706144,6876.72300562,386.049572083,417.503153756,2037.35110584,956.939940252,4453.3223277,18,950,22,19602.5389347
352,352,12.5663706144,6532.10756148,658.412122624,512.499687992,1866.367188,884.162241741,4007.32825085,9,761,10,18542.1191506
42,42,12.5663706144,4997.68295212,664.605579761,623.833223478,2482.26521359,1074.40162701,1850.81215876,25,1578,30,14741.355241
58,58,12.5663706144,6425.89765449,642.772120502,891.191173339,1964.57862764,1382.69381129,3818.54690635,7,608,32,12219.1326227
49,49,12.5663706144,8645.95448816,774.610424625,742.928855293,2667.66986816,1280.09896796,5203.67419538,21,2018,30,23995.0626531
163,163,12.5663706144,3579.6551914,451.499633883,457.532866664,1456.2702033,807.816876423,1671.88535422,16,1118,19,10705.6980774
178,178,12.5663706144,4836.02239081,479.807159426,520.771500241,2320.14464349,1043.01280621,2036.07058789,34,2131,31,14902.6581384
185,185,12.5663706144,3476.94313006,384.531320132,445.671701918,1851.09462728,861.628003591,1241.31718265,17,948,15,10774.421617
189,189,12.5663706144,5731.36129611,659.762622493,622.029759147,2329.12339522,1105.812379,2742.47527839,38,2695,39,17626.7407668
191,191,12.5663706144,3329.9686804,354.890610494,396.298722318,1943.39395148,831.386425161,1031.68411842,21,1089,16,9969.18908786
121,121,12.5663706144,6260.85146821,806.606267617,684.230321523,2568.79692165,1134.55363358,2885.44827894,22,1665,27,18178.515223
133,133,12.5663706144,7845.0118717,866.097379085,728.515681983,2918.11175269,1311.36699498,4060.80273992,23,1764,32,23713.0601881
